id_namespace	local_id	persistent_id	creation_time	abbreviation	name	description
tag:sennetconsortium.org,2025:	TDA - Buck Institute				TDA - Buck Institute	
tag:sennetconsortium.org,2025:	TDA - Columbia University				TDA - Columbia University	
tag:sennetconsortium.org,2025:	TDA - Massachusetts General Hospital				TDA - Massachusetts General Hospital	
tag:sennetconsortium.org,2025:	TDA - Mayo Clinic - Schafer				TDA - Mayo Clinic - Schafer	
tag:sennetconsortium.org,2025:	TDA - Pacific Northwest National Laboratory				TDA - Pacific Northwest National Laboratory	
tag:sennetconsortium.org,2025:	TDA - University of Washington				TDA - University of Washington	
tag:sennetconsortium.org,2025:	TMC - Buck Institute				TMC - Buck Institute	
tag:sennetconsortium.org,2025:	TMC - Columbia University				TMC - Columbia University	
tag:sennetconsortium.org,2025:	TMC - Duke University				TMC - Duke University	
tag:sennetconsortium.org,2025:	TMC - Johns Hopkins University				TMC - Johns Hopkins University	
tag:sennetconsortium.org,2025:	TMC - The Jackson Laboratory				TMC - The Jackson Laboratory	
tag:sennetconsortium.org,2025:	TMC - UConn Health				TMC - UConn Health	
tag:sennetconsortium.org,2025:	TMC - University of California San Diego				TMC - University of California San Diego	
tag:sennetconsortium.org,2025:	TMC - University of Minnesota - Bernlohr				TMC - University of Minnesota - Bernlohr	
tag:sennetconsortium.org,2025:	TMC - University of Minnesota - Niedernhofer				TMC - University of Minnesota - Niedernhofer	
tag:sennetconsortium.org,2025:	TMC - University of Pittsburgh				TMC - University of Pittsburgh	
tag:sennetconsortium.org,2025:	TMC - Washington University				TMC - Washington University	
tag:sennetconsortium.org,2025:	TMC - Yale University - Dixit				TMC - Yale University - Dixit	
tag:sennetconsortium.org,2025:	TMC - Yale University - Fan				TMC - Yale University - Fan	
tag:sennetconsortium.org,2025:	SenNet				SenNet	
